Stat,Total,Mean,Dev,Min,Max
Call Wait,60075,5.745037,4.419408,0.000000,22.706387
Call in System,60075,9.726180,3.680051,1.001099,19.957843
Call Duration,48670,5.492334,2.588744,1.000000,9.999725
Calls Attended,60075,0.810154,0.392182,0.000000,1.000000
Client Wait,146342,8.647497,21.369220,0.000000,361.870354
Client in System,121008,17.575396,25.599604,0.200585,393.747934
Manager Wait,24936,34.698061,41.688126,0.000000,361.870354
Manager Duration,24935,10.091036,3.882068,0.203520,26.212716
Teller Wait,36511,2.871510,4.956885,0.000000,51.844464
Teller Duration,36510,7.075288,2.882096,0.201974,18.609883
ATM Wait,84895,3.479821,5.075014,0.000000,62.147405
ATM Duration,84895,4.138439,1.861361,0.200389,12.275606
